"setting.idx","method","Dose 1","Dose 2","Dose 3","Dose 4","Dose 5","EN","EN.Overdose","DLT_pts","duration"
21,"bf.s2",0,0,0,0,0,0,0,0,0
21,"bf.total",13.63,11.27,4.45,0.88,0.1,30.33,5.43,6.78,26.68
21,"ours1.s1",13.66,10.96,4.58,1.01,0.15,30.37,5.74,0,21.38
21,"ours1.s2",0.01,0.03,0.16,0.08,0.01,0.29,0.25,0,0.26
21,"ours1.total",13.67,11,4.74,1.09,0.16,30.65,5.99,6.85,21.64
21,"ours2.s1",13.76,11,4.52,1.01,0.14,30.43,5.68,0,21.86
21,"ours2.s2",0,0.05,0.15,0.06,0.02,0.28,0.23,0,0.25
21,"ours2.total",13.76,11.05,4.67,1.07,0.16,30.71,5.9,6.85,22.12
21,"ours3.s1",13.76,10.98,4.5,0.97,0.15,30.36,5.62,0,21.77
21,"ours3.s2",0,0,0,0,0,0,0,0,0
21,"ours3.total",13.76,10.98,4.5,0.97,0.15,30.36,5.62,6.81,21.77
21,"titeet",15.8,9.3,3.6,0.9,0.2,29.8,4.7,6.5,20.78
21,"tite12",8.4,6.5,4.1,2.3,1,22.3,7.4,5.7,17.88
21,"bfet",12.35,10.12,4.39,1.2,0.23,28.29,5.82,6.04,16.9
31,"ours0.s1",14.01,11.05,4.25,0.88,0.11,30.3,5.23,0,26.77
31,"ours0.s2",0,0.05,0.08,0.04,0.01,0.19,0.14,0,0.17
31,"ours0.total",14.01,11.1,4.33,0.91,0.13,30.49,5.37,6.73,26.93
31,"bf.s1",13.63,11.27,4.45,0.88,0.1,30.33,5.43,0,26.68
31,"bf.s2",0,0,0,0,0,0,0,0,0
31,"bf.total",13.63,11.27,4.45,0.88,0.1,30.33,5.43,6.78,26.68
31,"ours1.s1",13.72,10.96,4.52,1,0.16,30.36,5.67,0,21.42
31,"ours1.s2",0.01,0.04,0.14,0.06,0.01,0.27,0.22,0,0.24
